,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.054443200000000136,3.0,150,0.4,2048
1,1,0.11770760000000013,3.0,150,0.4,2048
2,2,0.19785640000000004,2.0,150,0.4,2048
3,3,0.2982621000000001,2.0,150,0.4,2048
4,4,0.37761939999999994,2.0,150,0.4,2048
5,5,0.4691097000000002,2.0,150,0.4,2048
6,6,0.5435658999999999,2.0,150,0.4,2048
7,7,0.6109938000000001,2.0,150,0.4,2048
8,8,0.6740519000000003,2.0,150,0.4,2048
9,9,0.7643159000000002,2.0,150,0.4,2048
10,10,0.8271391000000001,2.0,150,0.4,2048
11,11,0.8881661000000003,2.0,150,0.4,2048
12,12,0.9641378000000005,2.0,150,0.4,2048
13,13,1.0751175000000002,2.0,150,0.4,2048
14,14,1.1401019000000003,1.0,150,0.4,2048
15,15,1.1949709000000004,1.0,150,0.4,2048
16,16,1.2499716000000003,1.0,150,0.4,2048
17,17,1.3147909000000002,1.0,150,0.4,2048
18,18,1.3723779,0.0,150,0.4,2048
19,19,1.4275994,3.0,150,0.5,2048
20,20,0.05217439999999929,3.0,150,0.5,2048
21,21,0.11956089999999975,3.0,150,0.5,2048
22,22,0.1939138999999992,3.0,150,0.5,2048
23,23,0.2673185999999994,2.0,150,0.5,2048
24,24,0.3546650999999992,2.0,150,0.5,2048
25,25,0.43851119999999977,2.0,150,0.5,2048
26,26,0.5045131999999999,2.0,150,0.5,2048
27,27,0.5738947999999997,1.0,150,0.5,2048
28,28,0.6358175999999993,1.0,150,0.5,2048
29,29,0.7250455999999996,1.0,150,0.5,2048
30,30,0.7806996999999996,1.0,150,0.5,2048
31,31,0.8388530999999997,1.0,150,0.5,2048
32,32,0.9002956999999991,1.0,150,0.5,2048
33,33,0.9640244999999998,1.0,150,0.5,2048
34,34,1.0226365,1.0,150,0.5,2048
35,35,1.0820016999999993,1.0,150,0.5,2048
36,36,1.141832,1.0,150,0.5,2048
37,37,1.2119809999999998,1.0,150,0.5,2048
38,38,1.2684491999999992,1.0,150,0.5,2048
39,39,1.3248838999999997,1.0,150,0.5,2048
40,40,1.3847425999999992,1.0,150,0.5,2048
41,41,1.4434164999999997,1.0,150,0.5,2048
42,42,1.5020634999999993,1.0,150,0.5,2048
43,43,1.5611623999999997,1.0,150,0.5,2048
44,44,1.6221360999999996,1.0,150,0.5,2048
45,45,1.6790854999999993,1.0,150,0.5,2048
46,46,1.7356948999999995,1.0,150,0.5,2048
47,47,1.7996108999999993,1.0,150,0.5,2048
48,48,1.8559092999999995,1.0,150,0.5,2048
49,49,1.9144400999999993,1.0,150,0.5,2048
50,50,1.9780581999999995,1.0,150,0.5,2048
51,51,2.0474651999999995,1.0,150,0.5,2048
52,52,2.1092521999999994,1.0,150,0.5,2048
53,53,2.190098699999999,1.0,150,0.5,2048
54,54,2.256487999999999,1.0,150,0.5,2048
55,55,2.3170783999999998,1.0,150,0.5,2048
56,56,2.3796935999999995,1.0,150,0.5,2048
57,57,2.4370246999999994,1.0,150,0.5,2048
58,58,2.5035906,1.0,150,0.5,2048
59,59,2.5658439999999993,1.0,150,0.5,2048
60,60,2.6240850999999994,1.0,150,0.5,2048
61,61,2.6868437,1.0,150,0.5,2048
62,62,2.748868699999999,1.0,150,0.5,2048
63,63,2.8056997999999993,1.0,150,0.5,2048
64,64,2.861655699999999,1.0,150,0.5,2048
65,65,2.9211012,1.0,150,0.5,2048
66,66,2.9761824,1.0,150,0.5,2048
67,67,3.0346992999999998,1.0,150,0.5,2048
68,68,3.0959471999999995,0.0,150,0.5,2048
69,69,3.1567416999999995,3.0,150,0.6,2048
70,70,3.2151758,3.0,150,0.6,2048
71,71,0.0477224000000005,2.0,150,0.6,2048
72,72,0.10444750000000003,2.0,150,0.6,2048
73,73,0.17279260000000018,2.0,150,0.6,2048
74,74,0.24635569999999962,2.0,150,0.6,2048
75,75,0.31321779999999944,2.0,150,0.6,2048
76,76,0.3829967000000005,2.0,150,0.6,2048
77,77,0.44089000000000045,1.0,150,0.6,2048
78,78,0.49600250000000035,1.0,150,0.6,2048
79,79,0.5561856000000001,1.0,150,0.6,2048
80,80,0.6273149000000009,1.0,150,0.6,2048
81,81,0.6835920999999994,1.0,150,0.6,2048
82,82,0.7401916999999996,1.0,150,0.6,2048
83,83,0.7975937000000011,1.0,150,0.6,2048
84,84,0.8563277000000005,1.0,150,0.6,2048
85,85,0.9121197000000008,1.0,150,0.6,2048
86,86,0.9688118999999995,1.0,150,0.6,2048
87,87,1.0247981000000008,1.0,150,0.6,2048
88,88,1.0985687999999998,1.0,150,0.6,2048
89,89,1.1567899000000006,1.0,150,0.6,2048
90,90,1.2134544000000007,1.0,150,0.6,2048
91,91,1.2708438000000006,1.0,150,0.6,2048
92,92,1.3312644000000011,1.0,150,0.6,2048
93,93,1.387881300000001,1.0,150,0.6,2048
94,94,1.445808500000001,0.0,150,0.6,2048
95,95,1.5012549999999996,3.0,200,0.4,2048
96,96,1.557675800000001,3.0,200,0.4,2048
97,97,1.6145701000000008,2.0,200,0.4,2048
98,98,0.07148220000000016,2.0,200,0.4,2048
99,99,0.14613720000000008,2.0,200,0.4,2048
100,100,0.25009509999999935,2.0,200,0.4,2048
101,101,0.3557117000000005,2.0,200,0.4,2048
102,102,0.43387829999999994,2.0,200,0.4,2048
103,103,0.5270129000000008,2.0,200,0.4,2048
104,104,0.6070641999999999,2.0,200,0.4,2048
105,105,0.6820442,2.0,200,0.4,2048
106,106,0.7557343000000003,2.0,200,0.4,2048
107,107,0.8519252000000002,1.0,200,0.4,2048
108,108,0.9320334999999993,1.0,200,0.4,2048
109,109,1.0372567000000004,1.0,200,0.4,2048
110,110,1.1195094999999995,1.0,200,0.4,2048
111,111,1.2042433,1.0,200,0.4,2048
112,112,1.2807332999999996,1.0,200,0.4,2048
113,113,1.3547817999999996,1.0,200,0.4,2048
114,114,1.4273573000000006,0.0,200,0.4,2048
115,115,1.5144330000000004,3.0,200,0.5,2048
116,116,1.5880107999999993,2.0,200,0.5,2048
117,117,1.6656598000000002,2.0,200,0.5,2048
118,118,1.7446044,2.0,200,0.5,2048
119,119,0.0635956999999987,2.0,200,0.5,2048
120,120,0.14464849999999885,2.0,200,0.5,2048
121,121,0.23680469999999865,1.0,200,0.5,2048
122,122,0.3384089999999986,1.0,200,0.5,2048
123,123,0.41364989999999935,1.0,200,0.5,2048
124,124,0.5131576999999989,1.0,200,0.5,2048
125,125,0.5942068999999996,1.0,200,0.5,2048
126,126,0.6759679999999992,1.0,200,0.5,2048
127,127,0.7512719999999984,1.0,200,0.5,2048
128,128,0.8484131999999995,1.0,200,0.5,2048
129,129,0.9228281999999997,1.0,200,0.5,2048
130,130,1.0092863999999988,1.0,200,0.5,2048
131,131,1.0907450999999995,1.0,200,0.5,2048
132,132,1.1716352999999984,1.0,200,0.5,2048
133,133,1.2472901999999984,1.0,200,0.5,2048
134,134,1.320913299999999,1.0,200,0.5,2048
135,135,1.3944978999999993,0.0,200,0.5,2048
136,136,1.4864169999999994,3.0,200,0.6,2048
137,137,1.560316799999999,2.0,200,0.6,2048
138,138,1.6349891999999997,2.0,200,0.6,2048
139,139,1.7119575999999999,2.0,200,0.6,2048
140,140,1.7878537999999988,2.0,200,0.6,2048
141,141,0.06652150000000034,2.0,200,0.6,2048
142,142,0.14218960000000003,2.0,200,0.6,2048
143,143,0.23172269999999884,2.0,200,0.6,2048
144,144,0.3343807999999999,2.0,200,0.6,2048
145,145,0.4104189999999992,2.0,200,0.6,2048
146,146,0.5078060000000004,2.0,200,0.6,2048
147,147,0.589187299999999,2.0,200,0.6,2048
148,148,0.6743287999999996,2.0,200,0.6,2048
149,149,0.7567776999999989,1.0,200,0.6,2048
150,150,0.8746866999999998,1.0,200,0.6,2048
151,151,0.950028099999999,1.0,200,0.6,2048
152,152,1.034913099999999,1.0,200,0.6,2048
153,153,1.1147549999999988,1.0,200,0.6,2048
154,154,1.1937981999999998,1.0,200,0.6,2048
155,155,1.277080999999999,1.0,200,0.6,2048
156,156,1.3513950999999995,1.0,200,0.6,2048
157,157,1.4256654999999991,1.0,200,0.6,2048
158,158,1.5130619999999997,0.0,200,0.6,2048
159,159,1.5880428000000002,1.0,300,0.4,2048
160,160,1.6657320999999996,1.0,300,0.4,2048
161,161,1.7424523,1.0,300,0.4,2048
162,162,1.8204542000000004,1.0,300,0.4,2048
163,163,1.895109999999999,1.0,300,0.4,2048
164,164,1.9701746999999994,1.0,300,0.4,2048
165,165,0.09283919999999846,1.0,300,0.4,2048
166,166,0.21781380000000006,1.0,300,0.4,2048
167,167,0.36298969999999997,1.0,300,0.4,2048
168,168,0.5068397999999998,1.0,300,0.4,2048
169,169,0.6304398999999989,0.0,300,0.4,2048
170,170,0.7645026999999995,2.0,300,0.5,2048
171,171,0.8903131999999996,2.0,300,0.5,2048
172,172,1.007111,2.0,300,0.5,2048
173,173,1.124570499999999,2.0,300,0.5,2048
174,174,1.2616761000000007,2.0,300,0.5,2048
175,175,1.3884491999999984,1.0,300,0.5,2048
176,176,1.5023070999999977,1.0,300,0.5,2048
177,177,0.10405430000000138,1.0,300,0.5,2048
178,178,0.22226310000000282,1.0,300,0.5,2048
179,179,0.36357130000000026,1.0,300,0.5,2048
180,180,0.49598220000000026,1.0,300,0.5,2048
181,181,0.6279012000000002,1.0,300,0.5,2048
182,182,0.7628404000000018,1.0,300,0.5,2048
183,183,0.8830681000000027,1.0,300,0.5,2048
184,184,0.9993234000000015,1.0,300,0.5,2048
185,185,1.1203314000000013,1.0,300,0.5,2048
186,186,1.2584082000000016,1.0,300,0.5,2048
187,187,1.380670600000002,1.0,300,0.5,2048
188,188,1.501866200000002,1.0,300,0.5,2048
189,189,1.6193103999999998,1.0,300,0.5,2048
190,190,1.7370906999999995,1.0,300,0.5,2048
191,191,1.8523440999999998,1.0,300,0.5,2048
192,192,1.9732958000000025,1.0,300,0.5,2048
193,193,2.0945693,1.0,300,0.5,2048
194,194,2.229814700000002,1.0,300,0.5,2048
195,195,2.3461366000000012,1.0,300,0.5,2048
196,196,2.4673245,1.0,300,0.5,2048
197,197,2.5928317000000014,1.0,300,0.5,2048
198,198,2.723972100000001,0.0,300,0.5,2048
199,199,2.8373095,2.0,300,0.6,2048
200,200,2.949081200000002,2.0,300,0.6,2048
201,201,3.063967400000003,2.0,300,0.6,2048
202,202,3.1880083,2.0,300,0.6,2048
203,203,3.3093009,2.0,300,0.6,2048
204,204,3.4206254000000023,2.0,300,0.6,2048
205,205,3.533132900000002,2.0,300,0.6,2048
206,206,3.652258100000001,2.0,300,0.6,2048
207,207,0.10233879999999829,1.0,300,0.6,2048
208,208,0.22625329999999977,1.0,300,0.6,2048
209,209,0.40893799999999914,1.0,300,0.6,2048
210,210,0.5500589999999974,1.0,300,0.6,2048
211,211,0.6672996999999974,1.0,300,0.6,2048
212,212,0.8040360999999976,1.0,300,0.6,2048
213,213,0.9190285999999972,1.0,300,0.6,2048
214,214,1.0360071999999967,1.0,300,0.6,2048
215,215,1.156049999999997,1.0,300,0.6,2048
216,216,1.293326999999998,1.0,300,0.6,2048
217,217,1.4082350999999989,1.0,300,0.6,2048
218,218,1.526550099999998,1.0,300,0.6,2048
219,219,1.6441387999999968,1.0,300,0.6,2048
220,220,1.7562128999999977,1.0,300,0.6,2048
221,221,1.8692668999999995,1.0,300,0.6,2048
222,222,1.9811580999999983,0.0,300,0.6,2048
