fitness,pop_size,pop_breed_percent,mutation_prob,max_attempts,max_iters,n_invocations,time
8.0,50,0.75,0.1,200,500,25571,2.2584341000000165
8.0,50,0.75,0.1,200,500,25571,2.2584341000000165
8.0,50,0.75,0.1,200,500,25571,2.2584341000000165
8.0,50,0.75,0.1,200,500,25571,2.2584341000000165
10.0,50,0.75,0.1,200,500,25571,2.2584341000000165
10.0,50,0.75,0.1,200,500,25571,2.2584341000000165
11.0,50,0.75,0.1,200,500,25571,2.2584341000000165
11.0,50,0.75,0.1,200,500,25571,2.2584341000000165
13.0,50,0.75,0.1,200,500,25571,2.2584341000000165
15.0,50,0.75,0.1,200,500,25571,2.2584341000000165
15.0,50,0.75,0.1,200,500,25571,2.2584341000000165
15.0,50,0.75,0.1,200,500,25571,2.2584341000000165
61.0,50,0.75,0.1,200,500,25571,2.2584341000000165
61.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
64.0,50,0.75,0.1,200,500,25571,2.2584341000000165
66.0,50,0.75,0.1,200,500,25571,2.2584341000000165
66.0,50,0.75,0.1,200,500,25571,2.2584341000000165
66.0,50,0.75,0.1,200,500,25571,2.2584341000000165
66.0,50,0.75,0.1,200,500,25571,2.2584341000000165
66.0,50,0.75,0.1,200,500,25571,2.2584341000000165
67.0,50,0.75,0.1,200,500,25571,2.2584341000000165
67.0,50,0.75,0.1,200,500,25571,2.2584341000000165
67.0,50,0.75,0.1,200,500,25571,2.2584341000000165
67.0,50,0.75,0.1,200,500,25571,2.2584341000000165
67.0,50,0.75,0.1,200,500,25571,2.2584341000000165
67.0,50,0.75,0.1,200,500,25571,2.2584341000000165
67.0,50,0.75,0.1,200,500,25571,2.2584341000000165
67.0,50,0.75,0.1,200,500,25571,2.2584341000000165
67.0,50,0.75,0.1,200,500,25571,2.2584341000000165
67.0,50,0.75,0.1,200,500,25571,2.2584341000000165
67.0,50,0.75,0.1,200,500,25571,2.2584341000000165
67.0,50,0.75,0.1,200,500,25571,2.2584341000000165
68.0,50,0.75,0.1,200,500,25571,2.2584341000000165
68.0,50,0.75,0.1,200,500,25571,2.2584341000000165
68.0,50,0.75,0.1,200,500,25571,2.2584341000000165
68.0,50,0.75,0.1,200,500,25571,2.2584341000000165
68.0,50,0.75,0.1,200,500,25571,2.2584341000000165
68.0,50,0.75,0.1,200,500,25571,2.2584341000000165
68.0,50,0.75,0.1,200,500,25571,2.2584341000000165
68.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
71.0,50,0.75,0.1,200,500,25571,2.2584341000000165
72.0,50,0.75,0.1,200,500,25571,2.2584341000000165
72.0,50,0.75,0.1,200,500,25571,2.2584341000000165
72.0,50,0.75,0.1,200,500,25571,2.2584341000000165
72.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
74.0,50,0.75,0.1,200,500,25571,2.2584341000000165
76.0,50,0.75,0.1,200,500,25571,2.2584341000000165
76.0,50,0.75,0.1,200,500,25571,2.2584341000000165
76.0,50,0.75,0.1,200,500,25571,2.2584341000000165
76.0,50,0.75,0.1,200,500,25571,2.2584341000000165
76.0,50,0.75,0.1,200,500,25571,2.2584341000000165
76.0,50,0.75,0.1,200,500,25571,2.2584341000000165
76.0,50,0.75,0.1,200,500,25571,2.2584341000000165
76.0,50,0.75,0.1,200,500,25571,2.2584341000000165
76.0,50,0.75,0.1,200,500,25571,2.2584341000000165
76.0,50,0.75,0.1,200,500,25571,2.2584341000000165
76.0,50,0.75,0.1,200,500,25571,2.2584341000000165
76.0,50,0.75,0.1,200,500,25571,2.2584341000000165
76.0,50,0.75,0.1,200,500,25571,2.2584341000000165
76.0,50,0.75,0.1,200,500,25571,2.2584341000000165
76.0,50,0.75,0.1,200,500,25571,2.2584341000000165
77.0,50,0.75,0.1,200,500,25571,2.2584341000000165
77.0,50,0.75,0.1,200,500,25571,2.2584341000000165
77.0,50,0.75,0.1,200,500,25571,2.2584341000000165
77.0,50,0.75,0.1,200,500,25571,2.2584341000000165
77.0,50,0.75,0.1,200,500,25571,2.2584341000000165
77.0,50,0.75,0.1,200,500,25571,2.2584341000000165
77.0,50,0.75,0.1,200,500,25571,2.2584341000000165
77.0,50,0.75,0.1,200,500,25571,2.2584341000000165
77.0,50,0.75,0.1,200,500,25571,2.2584341000000165
77.0,50,0.75,0.1,200,500,25571,2.2584341000000165
77.0,50,0.75,0.1,200,500,25571,2.2584341000000165
77.0,50,0.75,0.1,200,500,25571,2.2584341000000165
77.0,50,0.75,0.1,200,500,25571,2.2584341000000165
77.0,50,0.75,0.1,200,500,25571,2.2584341000000165
77.0,50,0.75,0.1,200,500,25571,2.2584341000000165
82.0,50,0.75,0.1,200,500,25571,2.2584341000000165
82.0,50,0.75,0.1,200,500,25571,2.2584341000000165
82.0,50,0.75,0.1,200,500,25571,2.2584341000000165
82.0,50,0.75,0.1,200,500,25571,2.2584341000000165
82.0,50,0.75,0.1,200,500,25571,2.2584341000000165
82.0,50,0.75,0.1,200,500,25571,2.2584341000000165
82.0,50,0.75,0.1,200,500,25571,2.2584341000000165
82.0,50,0.75,0.1,200,500,25571,2.2584341000000165
82.0,50,0.75,0.1,200,500,25571,2.2584341000000165
