fitness,pop_size,pop_breed_percent,mutation_prob,max_attempts,max_iters,n_invocations
332.0,50,0.5,0.1,100,500,14153
332.0,50,0.5,0.1,100,500,14153
333.0,50,0.5,0.1,100,500,14153
339.0,50,0.5,0.1,100,500,14153
381.0,50,0.5,0.1,100,500,14153
381.0,50,0.5,0.1,100,500,14153
381.0,50,0.5,0.1,100,500,14153
381.0,50,0.5,0.1,100,500,14153
395.0,50,0.5,0.1,100,500,14153
395.0,50,0.5,0.1,100,500,14153
416.0,50,0.5,0.1,100,500,14153
441.0,50,0.5,0.1,100,500,14153
441.0,50,0.5,0.1,100,500,14153
441.0,50,0.5,0.1,100,500,14153
441.0,50,0.5,0.1,100,500,14153
441.0,50,0.5,0.1,100,500,14153
457.0,50,0.5,0.1,100,500,14153
457.0,50,0.5,0.1,100,500,14153
473.0,50,0.5,0.1,100,500,14153
473.0,50,0.5,0.1,100,500,14153
473.0,50,0.5,0.1,100,500,14153
473.0,50,0.5,0.1,100,500,14153
499.0,50,0.5,0.1,100,500,14153
499.0,50,0.5,0.1,100,500,14153
499.0,50,0.5,0.1,100,500,14153
506.0,50,0.5,0.1,100,500,14153
506.0,50,0.5,0.1,100,500,14153
506.0,50,0.5,0.1,100,500,14153
506.0,50,0.5,0.1,100,500,14153
506.0,50,0.5,0.1,100,500,14153
510.0,50,0.5,0.1,100,500,14153
510.0,50,0.5,0.1,100,500,14153
511.0,50,0.5,0.1,100,500,14153
522.0,50,0.5,0.1,100,500,14153
522.0,50,0.5,0.1,100,500,14153
526.0,50,0.5,0.1,100,500,14153
526.0,50,0.5,0.1,100,500,14153
534.0,50,0.5,0.1,100,500,14153
534.0,50,0.5,0.1,100,500,14153
534.0,50,0.5,0.1,100,500,14153
535.0,50,0.5,0.1,100,500,14153
535.0,50,0.5,0.1,100,500,14153
535.0,50,0.5,0.1,100,500,14153
538.0,50,0.5,0.1,100,500,14153
538.0,50,0.5,0.1,100,500,14153
541.0,50,0.5,0.1,100,500,14153
541.0,50,0.5,0.1,100,500,14153
541.0,50,0.5,0.1,100,500,14153
541.0,50,0.5,0.1,100,500,14153
541.0,50,0.5,0.1,100,500,14153
541.0,50,0.5,0.1,100,500,14153
541.0,50,0.5,0.1,100,500,14153
541.0,50,0.5,0.1,100,500,14153
543.0,50,0.5,0.1,100,500,14153
543.0,50,0.5,0.1,100,500,14153
543.0,50,0.5,0.1,100,500,14153
544.0,50,0.5,0.1,100,500,14153
544.0,50,0.5,0.1,100,500,14153
544.0,50,0.5,0.1,100,500,14153
544.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
547.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
548.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
549.0,50,0.5,0.1,100,500,14153
550.0,50,0.5,0.1,100,500,14153
550.0,50,0.5,0.1,100,500,14153
550.0,50,0.5,0.1,100,500,14153
550.0,50,0.5,0.1,100,500,14153
550.0,50,0.5,0.1,100,500,14153
550.0,50,0.5,0.1,100,500,14153
550.0,50,0.5,0.1,100,500,14153
550.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
551.0,50,0.5,0.1,100,500,14153
